genotype,coral_id,wound,temp,date,chamber_vol,SA
,20230622_10_A_blank,,A,20230622,650,
,20230622_10_A_blank2,,A,20230622,650,
,20230622_10_H_blank,,H,20230622,650,
,20230622_10_H_blank2,,H,20230622,650,
,20230623_10_A_blank,,A,20230623,650,
,20230623_10_A_blank2,,A,20230623,650,
,20230623_10_H_blank,,H,20230623,650,
,20230623_10_H_blank2,,H,20230623,650,
,20230624_10_A_blank,,A,20230624,650,
,20230624_10_A_blank2,,A,20230624,650,
,20230624_10_H_blank,,H,20230624,650,
,20230624_10_H_blank2,,H,20230624,650,