coral_id,time,wound,polyp,corallite,new_tissue,healed.full,healed.2.3
4,0,2,0,0,0,0,0
4,1,2,0,0,0,0,0
4,10,2,0,0,1,0,0
4,19,2,1,0,1,0,1
6,0,1,0,0,0,0,0
6,1,1,0,0,0,0,0
6,10,1,1,0,0,0,0
6,19,1,1,0,1,0,1
10,0,1,0,0,0,0,0
10,1,1,0,0,0,0,0
10,10,1,0,0,0,0,0
10,19,1,1,0,1,0,1
13,0,2,0,0,0,0,0
13,1,2,0,0,0,0,0
13,10,2,1,0,1,0,1
13,19,2,1,1,1,1,1
22,0,1,0,0,0,0,0
22,1,1,0,0,0,0,0
22,10,1,0,0,0,0,0
22,19,1,1,0,0,0,0
27,0,2,0,0,0,0,0
27,1,2,0,0,0,0,0
27,10,2,0,0,1,0,0
27,19,2,0,0,1,0,0
30,0,1,0,0,0,0,0
30,1,1,0,0,0,0,0
30,10,1,0,0,0,0,0
30,19,1,1,0,1,0,1
31,0,2,0,0,0,0,0
31,1,2,0,0,0,0,0
31,10,2,0,0,1,0,0
31,19,2,1,1,1,0,1
38,0,1,0,0,0,0,0
38,1,1,0,0,0,0,0
38,10,1,0,1,0,0,0
38,19,1,1,1,1,1,1
39,0,2,0,0,0,0,0
39,1,2,0,0,0,0,0
39,10,2,0,0,1,0,0
39,19,2,1,0,1,0,1
44,0,2,0,0,0,0,0
44,1,2,0,0,0,0,0
44,10,2,0,0,1,0,0
44,19,2,0,0,1,0,0
48,0,1,0,0,0,0,0
48,1,1,0,0,0,0,0
48,10,1,0,1,0,0,0
48,19,1,1,1,1,1,1
65,0,2,0,0,0,0,0
65,1,2,0,0,0,0,0
65,10,2,0,1,0,0,0
65,19,2,0,1,1,0,1
66,0,2,0,0,0,0,0
66,1,2,0,0,0,0,0
66,10,2,0,0,0,0,0
66,19,2,1,1,1,1,1
71,0,1,0,0,0,0,0
71,1,1,0,0,0,0,0
71,10,1,0,1,0,0,0
71,19,1,0,1,0,0,0
72,0,1,0,0,0,0,0
72,1,1,0,0,0,0,0
72,10,1,1,1,0,0,1
72,19,1,1,1,0,0,1
79,0,2,0,0,0,0,0
79,1,2,0,0,0,0,0
79,10,2,0,0,1,0,0
79,19,2,1,0,1,0,1
80,0,1,0,0,0,0,0
80,1,1,0,0,0,0,0
80,10,1,0,1,0,0,0
80,19,1,0,1,0,0,0
82,0,2,0,0,0,0,0
82,1,2,0,0,0,0,0
82,10,2,1,0,1,0,1
82,19,2,1,0,1,0,1
88,0,1,0,0,0,0,0
88,1,1,0,0,0,0,0
88,10,1,1,1,0,0,1
88,19,1,1,1,0,0,1
93,0,2,0,0,0,0,0
93,1,2,0,0,0,0,0
93,10,2,0,0,0,0,0
93,19,2,1,0,1,0,1
100,0,1,0,0,0,0,0
100,1,1,0,0,0,0,0
100,10,1,1,1,0,0,1
100,19,1,1,1,1,1,1
102,0,2,0,0,0,0,0
102,1,2,0,0,0,0,0
102,10,2,0,1,0,0,0
102,19,2,1,1,1,1,1
105,0,1,0,0,0,0,0
105,1,1,0,0,0,0,0
105,10,1,0,1,0,0,0
105,19,1,1,1,0,0,1